x,y,z,I
808384.97,6484608.9,499.34000000000003,2526.0
808385.28,6484608.74,499.34000000000003,2847.0
808385.4,6484610.0200000005,499.34000000000003,2888.0
808375.3200000001,6484622.37,499.34000000000003,1082.0
808380.77,6484624.76,499.34000000000003,4335.0
808383.7000000001,6484609.83,499.34000000000003,3386.0
808377.35,6484611.390000001,499.34000000000003,1821.0
808379.61,6484620.37,499.34000000000003,4465.0
808378.5700000001,6484616.03,499.34000000000003,1861.0
808387.47,6484591.63,499.34000000000003,1469.0
808376.06,6484622.4,499.34000000000003,2546.0
808381.52,6484607.46,499.34000000000003,2194.0
808379.79,6484623.69,499.34000000000003,4909.0
808381.96,6484601.4,499.34000000000003,1044.0
808537.4400000001,6484596.01,499.34000000000003,2972.0
808518.16,6484619.51,499.34000000000003,1372.0
808533.65,6484606.57,499.34000000000003,3043.0
808532.86,6484608.140000001,499.34000000000003,3468.0
808390.47,6484602.5,499.34000000000003,3121.0
808515.79,6484623.45,499.34000000000003,1330.0
808380.85,6484609.390000001,499.34000000000003,2151.0
808383.89,6484608.96,499.34000000000003,3266.0
808380.63,6484610.98,499.34000000000003,2092.0
808389.9,6484596.16,499.34000000000003,529.0
808378.29,6484616.12,499.34000000000003,2406.0
808379.66,6484621.850000001,499.34000000000003,3799.0
808516.93,6484620.48,499.34000000000003,1267.0
808529.5,6484603.36,499.34000000000003,3989.0
808377.42,6484611.9,499.35,978.0
808375.03,6484622.09,499.35,361.0
808377.13,6484618.83,499.35,2218.0
808531.1900000001,6484608.95,499.35,3866.0
808529.8300000001,6484602.16,499.35,3431.0
808380.8300000001,6484609.34,499.35,2122.0
808382.0,6484606.05,499.35,1773.0
808381.18,6484609.45,499.35,2352.0
808381.7000000001,6484608.84,499.35,3665.0
808382.26,6484609.100000001,499.35,3787.0
808376.75,6484620.48,499.35,2102.0
808382.62,6484606.68,499.35,3671.0
808379.76,6484608.46,499.35,2068.0
